,Image_Index,Centering,Lightning,Orientation,Sharpness
0,1,false,true,true,true
1,2,true,true,true,true
2,4,false,true,true,false
3,8,false,true,false,true
4,9,true,true,true,true
5,11,true,false,true,false
6,12,false,true,true,true
7,14,true,true,true,false
8,18,true,true,true,true
9,19,true,true,true,false
10,20,false,true,true,false
11,21,false,true,true,false
12,22,true,true,true,false
13,24,false,false,true,false
14,26,true,true,true,true
15,27,false,true,true,false
16,28,false,true,true,true
17,29,false,true,true,false
18,32,false,true,true,true
19,36,false,true,false,true
20,REF_23,true,true,true,true
